,metric,context,cluster,first,second,metric value
239,active position I/U,LM,6,LM80,PABPC3,0.07468354430379746
240,active position I/U,LM,6,LM9,G3BP2,0.034444811268845604
241,active position I/U,LM,6,LM91,FXR1,0.01299166741331422
242,active position I/U,LM,6,EIF4G2,-,-
243,active position I/U,LM,6,FMR1,-,-
244,active position I/U,LM,6,RBM4B,-,-
245,active position I/U,LM,6,RBM5,-,-
246,active position I/U,LM,6,SNRNP70,-,-
247,active position I/U,LM,6,SRSF1,-,-
248,active position I/U,LM,6,SUCLG1,-,-
249,active position I/U,LM,6,YBX1,-,-
250,active position I/U,LM,6,ZNF326,-,-
251,active position I/U,LM,8,LM48,DAZAP1,0.045333584532416454
252,active position I/U,LM,8,LM51,AKAP8L,0.04173662748860638
253,active position I/U,LM,8,LM75,APOBEC3C,0.10288849081952531
254,active position I/U,LM,8,LM92,Rbm47_xt,0.0018246787805063483
255,active position I/U,LM,8,LM36,-,-
256,active position I/U,LM,8,LM61,-,-
257,active position I/U,LM,8,LM62,-,-
258,active position I/U,LM,8,LM65,-,-
259,active position I/U,LM,8,LM68,-,-
260,active position I/U,LM,8,LM73,-,-
261,active position I/U,LM,8,LM83,-,-
262,active position I/U,LM,9,LM33,HNRNPH2,0.03745826377295493
263,active position I/U,LM,9,LM86,FUBP1,0.0047093212081844756
264,active position I/U,LM,9,A1CF_gg,-,-
265,active position I/U,LM,9,BOLL,-,-
266,active position I/U,LM,9,CPEB1,-,-
267,active position I/U,LM,9,CPEB2,-,-
268,active position I/U,LM,9,CPEB4,-,-
269,active position I/U,LM,9,ELAVL4,-,-
270,active position I/U,LM,9,FUBP3,-,-
271,active position I/U,LM,9,HNRNPA0,-,-
272,active position I/U,LM,9,HNRNPC,-,-
273,active position I/U,LM,9,HNRNPD,-,-
274,active position I/U,LM,9,HNRNPDL,-,-
275,active position I/U,LM,9,HuR,-,-
276,active position I/U,LM,9,ILF2,-,-
277,active position I/U,LM,9,KHDRBS3,-,-
278,active position I/U,LM,9,MATR3,-,-
279,active position I/U,LM,9,MBNL1,-,-
280,active position I/U,LM,9,PABPC1,-,-
281,active position I/U,LM,9,PCBP1_mm,-,-
282,active position I/U,LM,9,PRR3,-,-
283,active position I/U,LM,9,RALY,-,-
284,active position I/U,LM,9,RBM15B,-,-
285,active position I/U,LM,9,RBM24,-,-
286,active position I/U,LM,9,RBM38_mm,-,-
287,active position I/U,LM,9,RBM47,-,-
288,active position I/U,LM,9,RC3H1,-,-
289,active position I/U,LM,9,Rbm38_dr,-,-
290,active position I/U,LM,9,SFPQ,-,-
291,active position I/U,LM,9,SNRPB2,-,-
292,active position I/U,LM,9,TDRD10,-,-
293,active position I/U,LM,9,TIA1,-,-
294,active position I/U,LM,9,TRA2B,-,-
295,active position I/U,LM,9,TRNAU1AP,-,-
296,active position I/U,LM,9,TUT1,-,-
297,active position I/U,LM,9,U2AF2,-,-
298,active position I/U,LM,9,ZC3H14,-,-
299,active position I/U,LM,9,ZFP36,-,-
300,active position I/U,LM,9,ZFP36L1,-,-
301,active position I/U,LM,9,ZFP36L2,-,-
302,active position I/U,LM,10,LM19,TAF15,0.018501291989664083
303,active position I/U,LM,10,LM26,Rbm42_xt,0.03439916887914118
304,active position I/U,LM,10,LM46,LIN28A,0.2697829332720799
305,active position I/U,LM,10,LM5,ANKHD1,0.10012303906490311
306,active position I/U,LM,10,LM54,TRA2A,0.06854006586169045
307,active position I/U,LM,10,LM57,SRSF7,0.044183638246461855
308,active position I/U,LM,10,LM59,SAMD4A,0.08808950573573149
309,active position I/U,LM,10,LM64,YBX2,0.03465914101772643
310,active position I/U,LM,10,LM78,TROVE2,0.01511609786504597
311,active position I/U,LM,10,LM28,-,-
312,active position I/U,LM,10,LM30,-,-
313,active position I/U,LM,10,LM31,-,-
314,active position I/U,LM,10,LM34,-,-
315,active position I/U,LM,10,LM43,-,-
316,active position I/U,LM,10,LM49,-,-
317,active position I/U,LM,10,LM58,-,-
318,active position I/U,LM,10,LM60,-,-
319,active position I/U,LM,10,LM71,-,-
320,active position I/U,LM,10,LM74,-,-
321,active position I/U,LM,10,LM76,-,-
322,active position I/U,LM,10,LM79,-,-
323,active position I/U,LM,10,LM87,-,-
324,active position I/U,LM,10,LM88,-,-
325,active position I/U,LM,10,LM95,-,-
326,active position I/U,LM,10,LM97,-,-
327,active position I/U,LM,12,LM27,RBM4,0.01958297397392319
328,active position I/U,LM,12,LM82,CNOT4,0.050386640342217834
329,active position I/U,LM,12,BRUNOL5,-,-
330,active position I/U,LM,12,BRUNOL6,-,-
331,active position I/U,LM,12,EIF3D,-,-
332,active position I/U,LM,12,ENOX1,-,-
333,active position I/U,LM,12,EWSR1,-,-
334,active position I/U,LM,12,FUS,-,-
335,active position I/U,LM,12,HNRNPCL1,-,-
336,active position I/U,LM,12,HNRNPR_gg,-,-
337,active position I/U,LM,12,Hnrnpr_xt,-,-
338,active position I/U,LM,12,IGF2BP2,-,-
339,active position I/U,LM,12,LIN28B,-,-
340,active position I/U,LM,12,NOVA1,-,-
341,active position I/U,LM,12,NUPL2,-,-
342,active position I/U,LM,12,PABPN1L,-,-
343,active position I/U,LM,12,PCBP1,-,-
344,active position I/U,LM,12,PPRC1,-,-
345,active position I/U,LM,12,RBFOX1,-,-
346,active position I/U,LM,12,RBM41,-,-
347,active position I/U,LM,12,RBM42,-,-
348,active position I/U,LM,12,RBM46,-,-
349,active position I/U,LM,12,RBM6,-,-
350,active position I/U,LM,12,RBM8A,-,-
351,active position I/U,LM,12,Rbm24_tn,-,-
352,active position I/U,LM,12,SART3,-,-
353,active position I/U,LM,12,SF3B6,-,-
354,active position I/U,LM,12,SRSF10,-,-
355,active position I/U,LM,12,SRSF11,-,-
356,active position I/U,LM,12,SRSF4,-,-
357,active position I/U,LM,12,SRSF5,-,-
358,active position I/U,LM,12,SRSF8,-,-
359,active position I/U,LM,12,Sf3b4_dr,-,-
360,active position I/U,LM,12,Syncrip_xt,-,-
361,active position I/U,LM,12,TARDBP,-,-
362,active position I/U,LM,12,XRCC6,-,-
363,active position I/U,LM,12,ZRANB2,-,-
364,active position I/U,LM,14,LM18,RBM20,0.008086934546373515
365,active position I/U,LM,14,LM7,RBFOX2,0.0015183146707155057
366,active position I/U,LM,14,LM90,RBM3,0.009375984872360542
367,active position I/U,LM,14,LM2,-,-
368,active position I/U,LM,14,LM24,-,-
369,active position I/U,LM,15,LM11,SF1,0.07896877033181522
370,active position I/U,LM,15,LM12,PCBP3_mm,0.061692173499325986
371,active position I/U,LM,15,LM16,PTBP1,0.015346534653465346
372,active position I/U,LM,15,LM17,DAZ3,0.061717352415026835
373,active position I/U,LM,15,LM23,BRUNOL4,0.12469941600824459
374,active position I/U,LM,15,LM52,QKI,0.02168234064785789
375,active position I/U,LM,15,LM53,KHSRP,0.026223776223776224
376,active position I/U,LM,15,LM63,ZNF638,0.0018280250298811783
377,active position I/U,LM,15,LM66,CELF1,0.06032278683285395
378,active position I/U,LM,15,LM84,PTBP3,0.09067303697548816
379,active position I/U,LM,15,LM85,ZCRB1,0.07818940511933235
380,active position I/U,LM,15,LM39,-,-
381,active position I/U,LM,15,LM47,-,-
382,top 64 5mer overlap,Swapped RBNS,1,LM D[A1CF],PUM1,0.21875
383,top 64 5mer overlap,Swapped RBNS,1,LM D[ESRP1],ZC3H18,0.53125
384,top 64 5mer overlap,Swapped RBNS,1,LM D[ESRP2],HNRNPF,0.34375
385,top 64 5mer overlap,Swapped RBNS,1,LM D[HNRNPA1L2],HNRNPA1,0.265625
386,top 64 5mer overlap,Swapped RBNS,1,LM D[HNRNPA1],SAFB2,0.3125
387,top 64 5mer overlap,Swapped RBNS,1,LM D[HNRNPA2B1],ESRP2,0.5625
388,top 64 5mer overlap,Swapped RBNS,1,LM D[HNRNPAB_tn],RBMS1,0.109375
389,top 64 5mer overlap,Swapped RBNS,1,LM D[HNRNPF],HNRNPA1L2,0.328125
390,top 64 5mer overlap,Swapped RBNS,1,LM D[HNRNPL],HNRNPAB_tn,0.25
391,top 64 5mer overlap,Swapped RBNS,1,LM D[HNRPLL],RBMS3,0.171875
392,top 64 5mer overlap,Swapped RBNS,1,LM D[IGF2BP1],PCBP4,0.578125
393,top 64 5mer overlap,Swapped RBNS,1,LM D[IGF2BP3],A1CF,0.234375
394,top 64 5mer overlap,Swapped RBNS,1,LM D[KHDRBS1],HNRPLL,0.0625
395,top 64 5mer overlap,Swapped RBNS,1,LM D[KHDRBS1_mm],PPP1R10,0.15625
396,top 64 5mer overlap,Swapped RBNS,1,LM D[KHDRBS2],PABPC4,0.328125
397,top 64 5mer overlap,Swapped RBNS,1,LM D[MSI1],KHDRBS1_mm,0.484375
398,top 64 5mer overlap,Swapped RBNS,1,LM D[NSUN2],RBM28,0.34375
399,top 64 5mer overlap,Swapped RBNS,1,LM D[PABPC4],IGF2BP1,0.3125
400,top 64 5mer overlap,Swapped RBNS,1,LM D[PCBP2],RBMS2,0.328125
401,top 64 5mer overlap,Swapped RBNS,1,LM D[PCBP4],PCBP2,0.296875
